Modelo,RMSE,MAE,MAPE,Epochs,Dropout
Modelo LSTM 1,5.239637656299839,2.617229721892069,24.773048266137103,50,0.2
Modelo LSTM 2,5.134840923813838,2.4931928032226844,19.37914443635453,50,0.3
Modelo GRU,6.097316602604288,3.411845827930636,45.37079394818211,50,0.3

