result,table,_start,_stop,_time,_value,_field,_measurement
_result,1,2024-09-12 20:09:33.068641+00:00,2024-09-12 21:09:33.068641+00:00,2024-09-12 20:11:10.632220+00:00,0.0,120210R01_FB_SEAT_Statistik_ZAU.120210R01.N_OK,KELABO1-----BS1---KFU1
_result,1,2024-09-12 20:09:33.068641+00:00,2024-09-12 21:09:33.068641+00:00,2024-09-12 20:11:25.649188+00:00,0.0,120210R01_FB_SEAT_Statistik_ZAU.120210R01.N_OK,KELABO1-----BS1---KFU1
_result,1,2024-09-12 20:09:33.068641+00:00,2024-09-12 21:09:33.068641+00:00,2024-09-12 20:11:40.649458+00:00,0.0,120210R01_FB_SEAT_Statistik_ZAU.120210R01.N_OK,KELABO1-----BS1---KFU1
_result,1,2024-09-12 20:09:33.068641+00:00,2024-09-12 21:09:33.068641+00:00,2024-09-12 20:11:55.662823+00:00,0.0,120210R01_FB_SEAT_Statistik_ZAU.120210R01.N_OK,KELABO1-----BS1---KFU1
_result,1,2024-09-12 20:09:33.068641+00:00,2024-09-12 21:09:33.068641+00:00,2024-09-12 20:12:10.665465+00:00,0.0,120210R01_FB_SEAT_Statistik_ZAU.120210R01.N_OK,KELABO1-----BS1---KFU1
_result,1,2024-09-12 20:09:33.068641+00:00,2024-09-12 21:09:33.068641+00:00,2024-09-12 20:12:25.683798+00:00,0.0,120210R01_FB_SEAT_Statistik_ZAU.120210R01.N_OK,KELABO1-----BS1---KFU1
_result,1,2024-09-12 20:09:33.068641+00:00,2024-09-12 21:09:33.068641+00:00,2024-09-12 20:12:40.690575+00:00,0.0,120210R01_FB_SEAT_Statistik_ZAU.120210R01.N_OK,KELABO1-----BS1---KFU1
_result,1,2024-09-12 20:09:33.068641+00:00,2024-09-12 21:09:33.068641+00:00,2024-09-12 20:12:55.703025+00:00,0.0,120210R01_FB_SEAT_Statistik_ZAU.120210R01.N_OK,KELABO1-----BS1---KFU1
_result,1,2024-09-12 20:09:33.068641+00:00,2024-09-12 21:09:33.068641+00:00,2024-09-12 20:13:10.708989+00:00,0.0,120210R01_FB_SEAT_Statistik_ZAU.120210R01.N_OK,KELABO1-----BS1---KFU1
_result,1,2024-09-12 20:09:33.068641+00:00,2024-09-12 21:09:33.068641+00:00,2024-09-12 20:13:25.716898+00:00,0.0,120210R01_FB_SEAT_Statistik_ZAU.120210R01.N_OK,KELABO1-----BS1---KFU1
_result,1,2024-09-12 20:09:33.068641+00:00,2024-09-12 21:09:33.068641+00:00,2024-09-12 20:13:40.721912+00:00,0.0,120210R01_FB_SEAT_Statistik_ZAU.120210R01.N_OK,KELABO1-----BS1---KFU1
_result,1,2024-09-12 20:09:33.068641+00:00,2024-09-12 21:09:33.068641+00:00,2024-09-12 20:13:55.729088+00:00,0.0,120210R01_FB_SEAT_Statistik_ZAU.120210R01.N_OK,KELABO1-----BS1---KFU1
_result,1,2024-09-12 20:09:33.068641+00:00,2024-09-12 21:09:33.068641+00:00,2024-09-12 20:14:10.732362+00:00,0.0,120210R01_FB_SEAT_Statistik_ZAU.120210R01.N_OK,KELABO1-----BS1---KFU1
_result,1,2024-09-12 20:09:33.068641+00:00,2024-09-12 21:09:33.068641+00:00,2024-09-12 20:14:25.735664+00:00,0.0,120210R01_FB_SEAT_Statistik_ZAU.120210R01.N_OK,KELABO1-----BS1---KFU1
